表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2021100000,2021年度,28000,兵庫県,***,"5,432,000",***,"763,403,573",1328202
2021100000,2021年度,29000,奈良県,***,"1,315,000",***,"5,275,102",328237
2021100000,2021年度,30000,和歌山県,***,"914,000",***,"58,484,936",215601
2021100000,2021年度,31000,鳥取県,***,"549,000",***,"2,107,744",180342
2021100000,2021年度,32000,島根県,***,"665,000",***,"49,214,968",166521
2021100000,2021年度,33000,岡山県,***,"1,876,000",***,"35,601,713",691409
2021100000,2021年度,34000,広島県,***,"2,780,000",***,"74,882,069",1287925
2021100000,2021年度,35000,山口県,***,"1,328,000",***,"70,560,057",443684
2021100000,2021年度,36000,徳島県,***,"712,000",***,"63,807,210",264942
2021100000,2021年度,37000,香川県,***,"942,000",***,"38,927,247",360222
2021100000,2021年度,38000,愛媛県,***,"1,321,000",***,"83,485,668",787170
2021100000,2021年度,39000,高知県,***,"684,000",***,"1,896,244",199160
2021100000,2021年度,40000,福岡県,***,"5,124,000",***,"345,456,611",2522649
2021100000,2021年度,41000,佐賀県,***,"806,000",***,"74,923,057",166912
2021100000,2021年度,42000,長崎県,***,"1,297,000",***,"34,730,665",354375
2021100000,2021年度,43000,熊本県,***,"1,728,000",***,"77,349,424",562902
2021100000,2021年度,44000,大分県,***,"1,114,000",***,"73,344,961",305218
2021100000,2021年度,45000,宮崎県,***,"1,061,000",***,"40,069,842",329246
2021100000,2021年度,46000,鹿児島県,***,"1,576,000",***,"2,445,281",482557
2021100000,2021年度,47000,沖縄県,***,"1,468,000",***,"54,818,233",513316
2020100000,2020年度,1000,北海道,***,"5,224,614","2,836,971","578,724,771",1330980
2020100000,2020年度,2000,青森県,***,"1,237,984","997,308","68,144,755",324712
2020100000,2020年度,3000,岩手県,***,"1,210,534","863,946","190,628,642",304530
2020100000,2020年度,4000,宮城県,***,"2,301,996","1,249,827","115,694,848",849836
2020100000,2020年度,5000,秋田県,***,"959,502","665,461","85,368,191",250885
2020100000,2020年度,6000,山形県,***,"1,068,027","803,673","101,931,860",297355
2020100000,2020年度,7000,福島県,***,"1,833,152","1,226,767","136,938,628",456163
2020100000,2020年度,8000,茨城県,***,"2,867,009","2,115,876","117,800,848",714893
2020100000,2020年度,9000,栃木県,***,"1,933,146","1,618,775","142,196,425",589414
2020100000,2020年度,10000,群馬県,***,"1,939,110","1,388,277","202,907,914",525248
2020100000,2020年度,11000,埼玉県,***,"7,344,765","3,451,890","8,050,907",1973918
2020100000,2020年度,12000,千葉県,***,"6,284,480","2,667,663","337,008,803",1837160
2020100000,2020年度,13000,東京都,***,"14,047,594","25,103,637","752,571,121",27502943
2020100000,2020年度,14000,神奈川県,***,"9,237,337","3,083,861","5,679,761",2375750
2020100000,2020年度,15000,新潟県,***,"2,201,272","1,291,738","165,057,679",620889
